鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４７３號二十一樓,14.59,住,,,1100726,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,122.89,2,2,1,有,有,13700000,131638,坡道平面,33.63,1950000,預售屋、或土地及建物分件登記案件；,RPWNMLNKKHHGFAF87DA,49.36,3.1,5.93,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４５３號三樓,14.59,住,,,1100206,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,122.89,2,2,1,有,有,12380000,120771,坡道平面,33.63,1600000,110.07.23讓渡 加價30萬預售屋、或土地及建物分件登記案件；,RPOOMLNKKHHGFAF17DA,49.36,3.1,5.93,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４７１號十三樓,19.94,住,,,1090714,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,156.35,3,2,2,有,有,17090000,124185,坡道平面,33.63,1850000,預售屋、或土地及建物分件登記案件；,RPPOMLNKKHHGFAF27DA,73.02,2.81,4.56,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４６７號十七樓,20.68,住,,,1100613,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,161.06,3,2,2,有,有,17490000,123519,坡道平面,33.63,1750000,預售屋、或土地及建物分件登記案件；,RPQOMLNKKHHGFAF37DA,75.17,3.7,4.56,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４７１號十七樓,19.94,住,,,1100417,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,156.35,3,2,2,有,有,17250000,126304,坡道平面,33.63,1750000,預售屋、或土地及建物分件登記案件；,RPROMLNKKHHGFAF47DA,73.02,2.81,4.56,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４６５號十九樓,14.85,住,,,1100807,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,124.17,2,2,1,有,有,14880000,139496,坡道平面,33.63,2250000,預售屋、或土地及建物分件登記案件；,RPSOMLNKKHHGFAF57DA,49.4,3.4,6.5,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４６３號十五樓,14.46,住,,,1091212,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,121.62,2,2,1,有,有,13380000,132174,坡道平面,33.63,1750000,預售屋、或土地及建物分件登記案件；,RPTOMLNKKHHGFAF67DA,49.22,3.4,5.05,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４５５號二十三樓,20.12,住,,,1100513,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,157.37,3,2,2,有,有,19100000,137385,坡道平面,33.63,2100000,預售屋、或土地及建物分件登記案件；,RPUOMLNKKHHGFAF77DA,73.67,2.81,4.56,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４５９號二十三樓,20.86,住,,,1090810,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,162.14,3,2,2,有,有,18380000,129406,坡道平面,33.63,1750000,預售屋、或土地及建物分件登記案件；,RPVOMLNKKHHGFAF87DA,75.93,3.65,4.56,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４６１號二十三樓,14.72,住,,,1090515,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,123.59,2,2,1,有,有,13160000,128502,坡道平面,33.63,1600000,預售屋、或土地及建物分件登記案件；,RPWOMLNKKHHGFAF97DA,49.05,3.35,6.5,有,
