鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４６９號十樓之３,5.06,商,,,1110222,土地2建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,72.88,1,1,1,有,有,18300000,251098,坡道平面,32.04,0,,RPSOMLOLLHHGFDA67DA,23.76,1.03,3.99,有,
信義區,房地(土地+建物),臺北市信義區松仁路２２８巷９弄２號二樓,50.85,都市：其他:道路用地(公共設施用地)。51/9/1,,,1101231,土地5建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600620,96.49,3,2,1,有,無,17100000,177220,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLRKLHHGFDA87DA,96.49,0.0,0.0,無,
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７３號十五樓之２,22.4,商,,,1110305,土地2建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,252.86,3,2,2,有,有,77280000,378112,坡道平面,64.08,5900000,,RPOQMLLLLHHGFDA17DA,113.83,10.82,10.34,有,
信義區,房地(土地+建物),臺北市信義區松山路６１５巷１９號四樓,22.57,住,,,1110112,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711005,123.06,5,1,4,有,無,17300000,140582,,0.0,0,,RPTPMLOKLHHGFDA77DA,98.2,0.0,14.3,無,203
信義區,房地(土地+建物)+車位,臺北市信義區松德路６５號十樓之３,9.63,住,,,1110225,土地2建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0810609,104.19999999999999,0,1,0,有,有,22000000,211132,坡道機械,20.52,0,其他增建；,RPUPMLPKLHHGFDA97DA,78.99,0.0,2.53,有,
信義區,房地(土地+建物),臺北市信義區永吉路１８０巷６６弄３０號四樓,29.8,住,,,1110122,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680529,104.66,3,2,1,有,無,23450000,224059,,0.0,0,陽台外推；其他增建；,RPWQMLSJLHHGFDA48DA,89.38,0.0,15.28,無,
松山區,房地(土地+建物),臺北市松山區延吉街１２號三樓,32.78,住,,,1110218,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771001,168.44,4,2,2,有,有,39500000,234505,,0.0,0,陽台外推；,RPROMLOLKHHGFDA47DA,128.88,0.85,13.97,有,
內湖區,房地(土地+建物),臺北市內湖區港墘路１０９號二樓,22.74,商,,,1110309,土地4建物1車位0,二層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0730607,123.2,2,1,1,有,無,23000000,186688,,0.0,0,陽台外推為室內使用，後陽台小部份增建,RPQQMLTLLHHGFCA08DA,108.99,0.0,8.51,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１９７號五樓,38.93,住,,,1090726,土地2建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,266.34,4,2,3,有,無,55700000,243734,坡道平面,63.66,6300000,於109.9.11增購另一車位預售屋、或土地及建物分件登記案件；,RPPOMLSLLHHGFCA67DA,120.77,0.0,10.93,有,
中山區,房地(土地+建物),臺北市中山區錦州街３２號九樓,5.83,商,,,1110123,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711102,63.91,2,2,1,有,有,10400000,162729,,0.0,0,建物向外加蓋鐵窗，陽台加窗及向外加蓋鐵窗陽台外推；其他增建；,RPSPMLPLLHHGFCA77DA,43.5,0.0,5.57,有,204
中山區,房地(土地+建物)+車位,臺北市中山區明水路５９７號五樓,25.79,住,,,1110319,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821108,149.05,2,1,1,有,有,33980000,227977,坡道平面,0.0,2500000,陽台外推；,RPUQMLPLLHHGFCA08DA,84.82,1.61,11.49,有,
內湖區,房地(土地+建物),臺北市內湖區內湖路一段９１巷３５弄１２號五樓,28.89,住,,,1101121,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730131,114.28999999999999,3,2,2,有,有,17660000,154519,,0.0,0,,RPXOMLLLLHHGFCA77DA,84.44,0.0,11.06,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１８３號七樓,38.82,住,,,1080922,土地2建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,230.72000000000003,4,2,3,有,無,51900000,247876,坡道平面,31.83,2600000,預售屋、或土地及建物分件登記案件；,RPSNMLOLLHHGFCA47DA,120.5,0.0,10.93,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１８５號六樓,20.45,住,,,1080828,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,134.04000000000002,3,2,2,有,無,29300000,259270,坡道平面,31.83,2800000,預售屋、或土地及建物分件登記案件；,RPUNMLOLLHHGFCA67DA,63.34,0.0,3.8,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１９１號五樓,28.6,住,,,1080830,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,176.72,3,2,2,有,無,38280000,247636,坡道平面,31.83,2400000,預售屋、或土地及建物分件登記案件；,RPVNMLOLLHHGFCA77DA,88.61,0.0,7.47,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１９３號十樓,20.45,住,,,1090531,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,134.04000000000002,3,2,2,有,無,28780000,258096,坡道平面,31.83,2400000,預售屋、或土地及建物分件登記案件；,RPWNMLOLLHHGFCA87DA,63.34,0.0,3.8,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１９７號三樓,38.88,住,,,1090701,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,234.51,4,2,3,有,無,55500000,259029,坡道平面,31.83,3000000,預售屋、或土地及建物分件登記案件；,RPTOMLOLLHHGFCA67DA,120.77,0.0,10.93,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路２０３號四樓,28.87,住,,,1090514,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,181.72,3,2,2,有,無,38850000,243178,坡道平面,31.83,2400000,預售屋、或土地及建物分件登記案件；,RPWOMLOLLHHGFCA97DA,89.42,0.0,7.36,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路２０５號四樓,22.58,住,,,1090503,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,149.3,3,2,2,有,無,32400000,255384,坡道平面,31.83,2400000,預售屋、或土地及建物分件登記案件；,RPOPMLOLLHHGFCA27DA,69.96,0.0,6.37,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路２０５號五樓,22.58,住,,,1090429,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,145.69,3,2,2,有,無,32280000,254363,坡道平面,28.22,2400000,原買方於111.02.21讓渡於權利人夫妻，交易總價不變預售屋、或土地及建物分件登記案件；,RPPPMLOLLHHGFCA37DA,69.96,0.0,6.37,有,
