鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三民區,車位,建工路６２７號等公共設施部份,2.23,都市：其他:第二種特定商業專用區,,,1110114,土地2建物1車位1,,,住宅大樓(11層含以上有電梯),,,,16.36,0,0,0,有,有,1400000,,坡道平面,16.36,1400000,僅車位交易；,RPRPMLRJLHHGFDE18DA,0.0,0.0,0.0,有,0026
三民區,車位,建工路６２７號等公共設施部份,4.47,都市：其他:第二種特定商業專用區,,,1110114,土地2建物1車位2,,,住宅大樓(11層含以上有電梯),,,,32.71,0,0,0,有,有,2800000,,坡道平面,32.72,2800000,僅車位交易；,RPSPMLRJLHHGFDE28DA,0.0,0.0,0.0,有,0026
三民區,房地(土地+建物),高雄市三民區育英街１２４巷１３號,98.0,住,,,1110125,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1100113,301.18,5,2,6,有,無,25500000,84667,,0.0,0,,RPQNMLSJLHHGFDE97DA,274.27,0.0,26.91,有,
三民區,房地(土地+建物),高雄市三民區大順二路３０號,84.22,都市：其他:第三種特定商業專用區,,,1110101,土地2建物1車位0,全,五層,透天厝,,鋼筋混凝土造,0690131,297.62,8,5,7,有,無,21000000,70560,,0.0,0,1~2樓後面增建其他增建；,RPSNMLSJLHHGFDE18DA,297.62,0.0,0.0,無,
三民區,房地(土地+建物)+車位,高雄市三民區德興街３１號十三樓,21.46,住,,,1110121,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100630,145.48000000000002,3,2,2,有,有,15650000,107575,坡道平面,16.49,0,,RPUPMLSJLHHGFDE58DA,68.56,5.88,9.2,有,0029
三民區,房地(土地+建物),高雄市三民區鼎中路３巷１５號三樓,30.35,住,,,1110207,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0600201,45.45,2,2,1,有,無,3000000,66007,,0.0,0,陽台外推；其他增建；,RPTPMLLKLHHGFDE87DA,45.45,0.0,0.0,無,0030
三民區,房地(土地+建物),高雄市三民區北平一街１７３巷６號,55.0,商,,,1110212,土地1建物1車位0,全,二層,透天厝,,加強磚造,0640103,81.12,3,2,2,有,無,6000000,73964,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNKLHHGFDE57DA,81.12,0.0,0.0,無,
三民區,房地(土地+建物),高雄市三民區順昌街７６號一、二樓,14.88,商,,,1110104,土地1建物1車位0,一層，二層，騎樓,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701222,93.87,2,2,1,有,有,5000000,53265,,0.0,0,其他增建；,RPSPMLTJLHHGFDE48DA,74.8,0.0,0.0,有,0031
三民區,房地(土地+建物)+車位,高雄市三民區鼎華路２１２號七樓,12.18,商,,,1110216,土地1建物1車位1,七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951207,139.06,3,2,2,有,有,10000000,71911,坡道平面,21.9,0,含傢俱設備費；陽台外推；,RPTOMLPKLHHGFDE18DA,67.25,3.88,8.84,有,0032
三民區,房地(土地+建物),高雄市三民區孝順街５巷２２號,77.0,住,,,1110123,土地2建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0650616,119.79,4,2,3,有,無,11250000,93914,,0.0,0,其他增建；,RPVOMLPKLHHGFDE38DA,119.79,0.0,0.0,無,
