鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中壢區,房地(土地+建物),桃園市中壢區圓光路一段８６號三樓,54.95,,特定農業區,甲種建築用地,1110222,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101207,198.39000000000001,3,2,2,有,有,15000000,75609,,0.0,0,,RPSNMLNKLHHGFBH87DA,128.35,0.0,11.92,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區圓光路一段８６號六樓,101.94,,特定農業區,甲種建築用地,1110301,土地1建物1車位1,六層，七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101207,395.88,5,3,4,有,有,22680000,57290,坡道平面,27.77,0,,RPTNMLNKLHHGFBH97DA,239.6,0.0,20.64,有,
中壢區,房地(土地+建物),桃園市中壢區圓光路一段８６號四樓,55.1,,特定農業區,甲種建築用地,1110307,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101207,198.94,3,2,2,有,有,11430000,57455,,0.0,0,,RPUNMLNKLHHGFBH08DA,128.35,0.0,12.3,有,
中壢區,房地(土地+建物),桃園市中壢區圓光路一段８６號五樓,54.95,,特定農業區,甲種建築用地,1110307,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101207,198.39000000000001,3,2,2,有,有,11400000,57463,,0.0,0,,RPVNMLNKLHHGFBH18DA,128.35,0.0,11.92,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７９號九樓,20.69,住,,,1071126,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,121.0,2,2,1,有,有,8254000,71974,坡道平面,26.98,1487000,預售屋、或土地及建物分件登記案件；,RPVNMLOKLHHGFBH28DA,55.46,0.0,7.23,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７１號十二樓,20.71,住,,,1071125,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,121.1,2,2,1,有,有,8192000,72365,坡道平面,26.98,1381000,預售屋、或土地及建物分件登記案件；,RPWNMLOKLHHGFBH38DA,55.53,0.0,7.23,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６５號十四樓,20.72,住,,,1080106,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,121.15,2,2,1,有,有,8298000,72327,坡道平面,26.98,1487000,預售屋、或土地及建物分件登記案件；,RPOOMLOKLHHGFBH67DA,55.56,0.0,7.23,有,
中壢區,房地(土地+建物),桃園市中壢區龍慈路５３號四樓,16.27,住,,,1090721,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,95.11,2,2,1,有,有,6767000,71149,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPOMLOKLHHGFBH77DA,57.63,0.0,5.79,有,
中壢區,房地(土地+建物),桃園市中壢區榮民路４７２號,108.03,工,,,1110307,土地2建物1車位0,全,五層,透天厝,商辦用,鋼筋混凝土造,0960801,286.83,4,2,4,有,有,18800000,65544,,0.0,0,,RPPTMLLKLHHGFBH97DA,255.57,7.65,23.62,無,
中壢區,房地(土地+建物),桃園市中壢區華夏路１５５號,56.4,住,,,1110209,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0920107,179.67,5,2,3,有,無,10500000,58440,,0.0,0,,RPVTMLLKLHHGFBH58DA,153.2,4.16,22.31,無,0295
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５７號十三樓,23.26,住,,,1080301,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,135.95999999999998,2,2,2,有,有,9371000,72344,坡道平面,26.98,1487000,預售屋、或土地及建物分件登記案件；,RPUSMLOKLHHGFBH68DA,64.02,0.0,8.64,有,
中壢區,房地(土地+建物),桃園市中壢區龍慈路７１號三樓,16.1,住,,,1080510,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,94.12,2,2,1,有,有,6723000,71430,,0.0,0,預售屋、或土地及建物分件登記案件；,RPWSMLOKLHHGFBH88DA,55.53,0.0,7.23,有,
中壢區,房地(土地+建物),桃園市中壢區龍慈路５３號二樓,16.19,住,,,1100903,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,94.64,2,2,1,有,有,6758000,71407,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXSMLOKLHHGFBH98DA,57.63,0.0,5.48,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６３號十二樓,20.69,住,,,1101225,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,121.0,2,2,1,有,有,8289000,72346,坡道平面,26.98,1487000,預售屋、或土地及建物分件登記案件；,RPPSMLOKLHHGFBH18DA,55.46,0.0,7.23,有,
中壢區,房地(土地+建物),桃園市中壢區龍慈路５１號八樓,16.18,住,,,1080903,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,94.55,2,2,1,有,有,6811000,72036,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSSMLOKLHHGFBH48DA,55.82,0.0,7.23,有,
中壢區,房地(土地+建物),桃園市中壢區龍慈路６１號三樓,158.08,住,,,1090706,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,92.4,2,2,1,有,有,6600000,71429,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPTMLOKLHHGFBH28DA,57.86,0.0,3.75,有,
中壢區,房地(土地+建物),桃園市中壢區龍慈路７５號十四樓,16.11,住,,,1101212,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,94.17,2,2,1,有,有,6811000,72327,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSTMLOKLHHGFBH58DA,55.56,0.0,7.23,有,
中壢區,房地(土地+建物),桃園市中壢區龍慈路８５號二樓,16.1,住,,,1080601,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,94.12,2,2,1,有,有,6723000,71430,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVTMLOKLHHGFBH88DA,55.53,0.0,7.23,有,
中壢區,房地(土地+建物),桃園市中壢區崁頂路１５０７巷８８弄２號,66.0,住,,,1110215,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0621130,48.51,2,1,1,有,無,1883400,38825,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSTMLSJLHHGFBH88DA,48.51,0.0,0.0,無,
